real_name,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
gen=0_training=22,8.69645,-3.27161,-4.30812,-1.61702,5.73577,-1.81955,5.3576,2.61929,-0.580497,-0.762425,5.54655,1.31554,-0.607337,5.97652,9.69953,5.89418,1.61538,-0.0972876,0.558335,-2.50893
gen=0_training=23,2.33452,6.82407,-0.44936,5.77724,9.65191,3.55773,5.58756,3.78548,2.88553,3.66361,4.64237,8.58997,-1.63919,4.2847,9.41225,8.86709,-1.70654,2.23445,8.2725,3.28951
gen=0_training=24,5.56332,-1.01627,5.44408,6.46594,6.93118,6.5993,6.61009,0.691907,0.920379,-2.37905,-3.06318,3.31101,1.7959,-3.05071,8.73268,-4.70615,-1.09974,-2.80679,6.22355,-3.21791
gen=0_training=25,3.22765,7.66993,0.258904,-4.79886,-0.0452282,0.109562,-4.13191,-4.53342,-4.71962,1.19433,5.408,4.58123,7.04093,6.87831,9.95326,4.65588,-1.52201,5.40234,9.28708,-2.12973
gen=0_training=26,3.3983,-1.44608,1.61578,7.94951,-2.87094,6.34481,4.122,2.62324,1.63982,9.347,7.75955,-3.47412,-4.65608,-0.350104,9.15777,0.604197,-0.984569,4.24113,-3.04103,-3.61278
gen=0_training=27,3.21721,6.43901,6.90562,-1.28414,7.03166,9.92036,3.32596,9.31799,8.65082,9.26221,7.49803,-1.98553,0.836386,3.64585,-4.19173,-0.487345,-3.84238,5.52522,-1.17657,6.82714
gen=0_training=28,7.45909,-0.686694,1.60587,7.97825,2.16215,3.18438,4.85906,3.06253,-1.2403,6.31152,8.37454,-3.07484,2.95369,-2.0021,-0.587732,-2.45088,-3.4334,2.88946,1.09251,-1.1458
gen=0_training=29,-3.51757,1.73805,1.92095,3.30241,-2.81807,-1.60982,6.66128,-2.77778,-2.97021,-3.332,-0.998258,9.42729,-2.34254,5.77539,-0.605796,-4.69481,1.61147,-4.65703,-3.02642,-0.898019
gen=0_training=30,8.49125,9.00417,4.92608,9.07317,7.45337,2.71077,5.15659,-1.42641,5.75718,4.03298,-0.145487,3.3753,-0.0652179,3.29184,5.27178,-0.0269894,8.048,6.56041,-0.725248,5.68707
gen=0_training=31,-2.29753,2.98936,1.95817,7.6289,6.96293,0.0527159,-4.87609,-0.0191952,1.70382,-0.585755,-2.06813,-0.811867,2.81246,7.06733,3.74678,5.16532,5.8562,5.66717,-3.51476,-4.93599
gen=0_training=32,-4.1412,1.80309,-0.401497,-1.25962,-3.93961,9.44121,2.57752,-1.94323,8.19555,1.36602,2.58241,7.43119,6.43215,-4.4707,-0.592578,4.82147,8.11617,2.80167,8.11429,1.55885
gen=0_training=33,4.94907,8.30324,2.77245,9.69901,6.27215,4.86081,-0.243223,3.61328,-1.19095,-0.192804,2.88145,-4.92469,6.89432,0.361017,1.71153,-1.83554,8.3045,5.70175,-3.48019,5.4846
gen=0_training=34,4.24887,5.13071,9.51958,-3.83397,5.99479,4.47642,-4.51301,-1.82678,-2.17201,-1.20541,4.97293,2.1554,7.20989,7.20354,3.97856,4.63453,7.96752,6.57642,5.40925,-4.25252
gen=0_training=35,-0.408013,2.82363,4.87352,0.519947,-1.23497,1.38984,8.57257,8.2862,4.03831,6.17898,1.58716,8.4166,-0.363691,3.48107,4.82751,0.629914,-4.58393,5.54613,-0.430078,8.80939
gen=0_training=36,9.04447,-3.21457,-3.34695,7.77708,3.39797,-2.06789,4.47697,-1.73318,-0.215824,-2.15406,-0.186187,6.97767,2.03777,9.79487,-2.64138,1.09024,3.26293,4.49404,9.12114,6.79525
gen=0_training=37,-2.25143,5.33417,8.01762,8.28292,8.89713,5.99318,7.65877,5.34814,3.8718,5.8476,5.01236,6.36169,-1.79568,2.67821,-0.420569,-4.83213,-0.040351,1.75974,8.60457,2.22883
gen=0_training=38,8.5918,6.40877,-0.331274,4.86517,-1.18401,6.1181,4.49522,-4.48515,0.651963,6.12673,6.74289,-3.78769,2.32764,7.97825,-4.17166,-3.0449,2.53099,-3.1761,-0.664067,6.52926
gen=0_training=39,-3.96356,-3.3006,3.28774,6.98793,9.83508,-3.31687,8.71235,7.87599,-2.73992,2.93958,-4.53236,5.5303,1.2121,1.39729,1.50466,6.46327,0.868873,-0.168465,9.85116,2.33423
gen=0_training=40,3.53245,7.32635,6.14643,6.53334,5.79585,-4.65676,5.86429,-1.13062,-1.98544,4.95016,8.45709,5.717,1.95968,7.13302,2.06641,6.5952,9.49857,0.466471,9.46488,3.57101
gen=0_training=41,4.42503,2.19132,7.02577,-3.62365,1.88867,1.49464,3.81033,-0.410314,5.15945,-0.0323026,1.52394,9.5789,3.67246,5.47387,5.35653,-2.51234,3.38059,-3.60763,-4.10912,5.17025
gen=0_training=42,0.693865,8.82192,5.61436,6.54387,-0.77691,-4.49091,4.77887,-3.32385,-3.16274,4.21825,0.916462,-2.32093,4.47794,-3.39098,4.853,9.47233,7.81516,1.80299,1.69686,4.95318
gen=0_training=43,-1.27783,1.18346,0.699936,5.12306,8.6146,-4.04432,-2.60388,7.10171,2.78737,-4.4536,6.54319,8.02887,2.56797,3.63774,-4.06386,4.08352,-2.48888,-1.06998,4.05527,3.55438
gen=0_training=44,8.74552,3.88722,9.78615,4.53824,4.0144,0.336869,2.1813,6.46419,2.624,5.00919,3.91507,7.24195,4.32781,0.862474,8.82033,-2.31125,2.49796,3.22713,-2.31004,-0.284749
gen=0_training=45,-3.01797,3.7942,7.23571,-1.58257,8.8086,-3.89548,1.60766,1.94756,1.15501,-1.58525,-1.33846,2.13342,2.7575,1.88673,-3.57473,-3.84856,4.67857,2.83893,7.06919,-3.41482
gen=0_training=46,0.788633,-4.18643,-0.923357,-3.93909,5.95247,-1.03158,2.76684,7.93882,0.177113,7.18786,0.774897,0.743761,5.24062,9.15805,-3.04844,6.99964,-4.3188,8.20231,-3.59817,-0.686803
gen=0_training=47,0.772312,2.16764,-4.40923,9.55362,-4.63879,-1.41557,-4.98072,3.22737,0.724596,-1.38251,3.81785,3.20421,6.44811,-4.84643,1.09476,-4.40295,2.37324,-2.21834,8.79556,-0.765688
gen=0_training=48,3.6295,-4.35017,-0.992567,2.00229,-2.68176,6.50885,6.0568,4.51549,2.92333,-2.80834,7.40689,9.87834,2.47837,0.827583,6.81506,-3.79586,5.39374,-1.14616,-2.91251,5.10124
gen=0_training=49,2.42907,-3.12566,6.26954,7.02534,-0.613566,-3.56284,-0.536376,5.81737,-2.046,-2.5081,0.495251,-1.34283,-1.15788,0.629313,3.65472,2.1179,0.919791,6.94892,-4.92834,0.533018
gen=0_training=50,-0.845879,-2.68737,1.57505,5.61243,-1.43007,-1.88816,6.48744,3.15119,7.07323,8.11461,-2.17857,5.88819,3.24744,8.88435,-4.92352,-4.94202,-1.80874,4.26046,0.466077,0.21132
gen=0_training=51,9.85018,9.10887,1.34492,0.33031,1.38883,-3.50484,9.28981,-0.210869,1.551,3.39301,-2.40914,5.98772,1.98391,7.86792,-2.26085,6.89039,-3.86775,7.97102,5.16971,4.39916
gen=0_training=52,5.72799,4.75549,1.67014,-2.02639,9.18501,0.0757942,4.92626,-0.666804,3.49601,-4.84186,6.47684,9.74356,9.62669,3.27328,8.52914,8.0595,6.22863,8.54553,-2.88983,-1.63077
gen=0_training=53,3.64241,-4.3336,4.28245,5.2636,5.17601,9.97308,0.0615228,4.44441,7.08715,8.39196,7.16189,-4.87802,0.284825,-1.47891,8.09829,7.09326,4.12565,8.96465,7.91712,0.192968
gen=0_training=54,8.16036,4.1197,8.14446,1.77684,3.04108,3.9684,8.97962,1.174,8.6985,9.51059,-3.56455,-4.3407,9.36448,5.13071,4.18605,0.764866,6.57128,8.40448,5.10866,9.87059
gen=0_training=55,5.83043,-4.36835,4.78513,-3.3265,-2.70076,2.72756,-2.68708,9.88752,4.11597,0.284465,-0.262801,2.65224,3.44183,2.1903,8.66208,-3.67755,6.93714,3.90309,6.72821,-0.943527
gen=0_training=56,9.05726,7.73146,-0.903934,-8.28307e-05,4.37242,7.106,3.96922,9.93451,8.96526,3.31707,6.45411,7.41731,5.84413,9.56081,-1.3883,-2.95169,6.81131,-1.59487,6.02967,4.9199
gen=0_training=57,8.53317,-1.43694,7.64403,3.83153,2.02736,-4.94495,6.34168,4.60528,-0.627926,-1.00385,-2.86291,-3.26767,0.264412,-2.17694,-4.26236,8.35761,0.754574,-0.0590843,1.87216,4.32937
gen=0_training=58,6.85852,4.81938,8.1389,-1.65897,-1.99905,6.2166,4.74273,8.71385,1.39187,-0.94887,-4.89953,-4.71623,5.80547,-1.64335,6.75844,6.97916,7.55805,9.34517,9.08285,2.99827
gen=0_training=59,-1.13623,-2.27722,8.24193,1.6558,2.77657,7.42686,-0.768471,8.5632,6.05489,3.80729,-3.79993,-1.8608,-4.67989,-1.87602,3.55022,-0.339761,-3.82267,6.0941,-2.40488,-0.643449
gen=0_training=60,1.1355,7.86423,-1.62914,2.88912,4.71345,4.08542,8.03238,-2.82688,-3.98945,9.24777,-1.50395,6.61865,-4.34414,0.961056,9.64003,2.42524,5.84277,-0.894252,3.61368,-2.18422
gen=0_training=61,-0.195945,0.96557,7.44719,1.1051,-2.55398,3.08264,8.74267,2.5146,6.42566,-4.51447,2.03028,2.58257,8.78497,-2.1484,-1.72518,2.36646,-2.45233,9.71205,7.32182,4.82474
gen=0_training=62,9.72708,7.53788,-0.00863379,3.21493,3.28549,-4.97847,9.2778,6.95244,-0.673643,9.42342,7.89341,0.806028,6.15369,3.2461,1.81133,-0.380922,-1.60118,-3.43518,-4.28768,2.85421
gen=0_training=63,9.56102,7.08066,3.37639,3.74471,3.43483,-4.37739,9.59983,0.358246,7.21292,9.1286,-4.03906,-0.852832,-4.42483,6.74908,6.07469,8.92291,-0.147059,6.07742,2.05974,-1.59744
gen=0_training=64,3.34342,-4.04924,1.76417,1.39807,9.13007,2.04161,-4.18061,2.37975,1.37078,0.591688,3.6789,9.24771,1.65544,-0.329565,8.48479,5.05672,7.33575,1.4387,-3.37346,4.74104
gen=0_training=65,9.625,-1.07086,1.51994,9.8527,-4.18203,7.13604,8.16478,3.76957,0.73274,-3.6588,3.13162,9.14813,1.47862,1.19441,5.24309,-0.640601,3.00223,0.529568,1.96141,3.50387
gen=0_training=66,-1.32925,5.49921,-1.11046,-0.88284,-0.324051,-0.503106,-0.270124,4.61566,2.58332,-2.93004,3.17271,9.26078,4.86052,-3.21377,8.04027,4.31373,9.33701,7.67314,1.4233,2.40263
gen=0_training=67,5.21982,9.1427,4.60372,4.23464,5.39368,-1.21788,-4.32694,-1.78109,9.12432,5.78556,-3.70203,5.73755,1.31956,5.8001,7.48885,-1.13812,3.48056,7.43068,1.92217,-2.21061
gen=0_training=68,3.82092,7.41297,5.6518,2.91833,-2.98731,-0.23537,5.55267,2.28844,-3.28495,1.29448,7.36633,6.05595,8.59706,-0.798083,9.49829,-2.43445,-4.10135,1.03014,1.71915,-0.0881592
gen=0_training=69,3.45808,-4.69538,3.5055,8.50218,-2.96307,0.449529,-2.89465,7.22773,3.63334,9.31105,4.16615,-4.66383,7.76802,6.46021,-2.96776,9.1663,-1.50161,-0.738322,-0.178828,2.91415
gen=0_training=70,0.627408,6.67026,2.92474,1.89088,-4.78343,8.87811,3.64706,5.55405,0.621228,-1.41876,3.61125,7.06014,-1.13731,-2.41639,6.71671,4.14164,9.52431,-1.42723,7.63564,4.69932
gen=0_training=71,5.25606,-2.91688,-0.813565,9.39166,-4.07112,4.80355,-4.63748,1.72908,0.57881,-3.1051,-2.6281,1.75107,1.53868,1.09681,-1.64718,8.19564,8.15301,5.45843,1.52811,8.99324
gen=0_training=72,6.47321,0.68716,6.73749,4.25641,-2.34285,-0.0307645,1.24673,1.50353,-3.23418,4.7576,3.55832,3.2641,0.222908,1.15874,4.29117,-3.70003,9.38698,-3.38536,8.85918,-1.06665
gen=0_training=73,5.41786,-3.35658,3.30551,-2.66279,4.47717,6.75595,2.94858,0.585093,8.74595,8.45763,-3.77405,-2.89116,-1.82494,-1.5194,0.682295,0.29783,9.09533,5.05438,0.17154,1.02032
gen=0_training=74,3.06543,9.8587,-4.34392,7.32969,-3.53129,5.19243,2.15569,-0.553273,7.81404,-1.77907,4.48003,-0.95616,6.10861,7.52207,3.3691,9.94183,-4.19555,0.644578,3.18979,3.52254
gen=0_training=75,3.36115,4.83434,3.61734,5.75258,1.9937,6.61815,3.98247,-1.52298,-3.88455,6.61693,6.12118,-4.48512,3.42743,0.737101,-4.37717,9.26999,-4.11539,-0.867844,0.322977,8.16662
gen=0_training=76,6.42188,1.25462,8.17678,-3.90691,4.73741,-0.184304,8.89745,-2.05458,4.05267,-0.701865,-3.11653,-2.29288,8.15916,8.29693,2.58372,5.53637,7.32334,7.56419,-4.85277,-4.44937
gen=0_training=77,6.01744,3.6666,3.27001,3.60951,-4.29398,-2.09041,2.49905,-1.69755,9.04834,8.49124,4.59646,4.23556,4.17578,-3.85973,5.21978,6.27395,8.25604,5.2518,7.61594,5.56616
gen=0_training=78,2.95036,9.41889,7.81703,-3.75195,-4.19491,1.0414,3.58404,-4.76782,-0.604856,3.07235,-2.51762,9.72339,-3.35587,0.230359,5.99887,-2.66897,7.95252,3.59343,1.41674,7.98424
gen=0_training=79,2.00957,-4.08094,-2.98982,7.68316,-3.03788,1.30886,-4.73658,6.34099,3.07715,-0.817121,1.69051,8.2862,0.721627,-3.66772,-3.14734,8.62224,-2.9997,-2.84137,9.10024,7.74022
gen=0_training=80,2.92134,-3.86501,-1.87974,2.89486,4.02216,4.43391,-4.22705,-1.33524,2.64598,-2.84825,8.44161,0.281439,2.90195,-4.11993,8.94095,8.61611,8.84103,1.62367,6.17167,-4.67806
gen=0_training=81,7.80541,-4.16357,3.40483,-0.245253,8.546,0.475783,3.71481,8.90339,0.768113,0.106115,-3.54523,-0.927521,7.30129,5.90785,2.26519,6.55833,-4.63456,9.62211,4.22362,0.571409
gen=0_training=82,1.40484,7.45425,-2.67721,2.31497,0.643215,-2.84857,7.69036,-3.19971,-0.612347,-0.520365,5.86237,1.64596,-1.42787,8.8501,-2.21971,-3.43565,2.31146,-2.17603,-2.07962,-3.56028
gen=0_training=83,6.83661,2.22493,9.53094,6.6017,1.19159,-0.774555,6.44801,-1.06042,7.90923,4.01951,-3.0026,5.91403,1.22613,3.91079,0.31347,3.61201,-1.11399,-1.07368,2.15002,-2.82591
gen=0_training=84,-1.22089,-2.62264,4.64395,8.43824,1.00259,0.940798,4.95401,2.47193,1.50545,-1.69935,-1.85111,9.68782,3.13307,0.322348,0.800413,-4.96519,1.99951,3.87827,-1.05485,-2.55473
gen=0_training=85,-3.93535,3.92202,3.7381,3.76546,4.11266,-4.60699,-1.72859,-4.44019,-2.68784,8.74624,-0.939873,-4.19707,9.76667,3.86368,-3.75117,8.47635,3.03832,-0.286861,-0.112696,1.21292
gen=0_training=86,3.49812,6.30227,7.01398,5.48319,6.83813,2.83787,6.18001,-1.54849,3.61772,0.60833,-2.24262,-1.01151,4.09196,9.45496,-0.400284,-0.934349,2.17966,7.58575,8.98798,-0.633216
gen=0_training=87,2.64169,-0.138026,2.63541,6.81366,7.67584,3.52944,-4.57546,8.39831,-2.48585,0.558128,-2.18228,-3.58241,-2.93551,1.66499,0.250349,-4.26537,6.50368,-4.55598,8.83854,9.42511
gen=0_training=88,1.29428,5.2654,6.48358,7.93965,-0.484737,5.90848,1.12174,4.59732,-3.13466,-4.15574,1.80872,0.682804,-0.527978,2.62777,-2.77783,-0.231519,4.70104,-4.47226,0.72145,3.05564
gen=0_training=89,7.05066,4.71357,7.57746,-4.49431,-4.04852,3.98833,-0.75228,6.55342,4.50971,-0.92304,-0.976633,0.493215,3.63517,5.19007,3.11758,0.701458,5.63061,4.67661,9.05921,7.95285
gen=0_training=90,-4.66308,-3.88752,-0.0406937,8.05493,4.12485,2.02228,3.04725,-0.932408,-0.983571,6.3039,6.81604,9.83112,4.3587,6.6994,-3.73601,4.19821,-4.92065,0.103323,1.26912,4.46592
gen=0_training=91,-4.20347,0.0150777,0.607448,-0.210881,3.30935,8.54331,-3.82656,5.64718,-4.65984,4.30042,1.97209,-2.87174,-4.72044,-4.77411,6.29249,4.39042,1.88784,8.76124,-2.19584,-2.51459
gen=0_training=92,-0.433891,6.58619,8.30992,5.7395,7.81177,-0.490931,6.28273,5.36475,2.40292,2.06407,-4.68755,-0.936669,0.68439,2.54246,-4.55423,7.19977,1.88363,-0.972669,2.12975,8.70029
gen=0_training=93,-1.02995,9.52469,4.949,-2.44261,9.03139,1.20776,6.51228,7.15053,-2.44902,2.63343,5.24669,-3.93565,4.91996,2.70143,7.37553,-3.31218,-0.965565,-2.08589,1.25064,-0.789531
gen=0_training=94,9.86984,7.15287,-1.74326,8.74762,9.45647,2.76814,8.72739,-3.56358,7.31849,-3.19148,-2.16461,6.31368,2.1759,4.44604,-2.6877,2.78749,-1.63695,-0.766348,-4.63959,2.05208
gen=0_training=95,6.79456,5.34593,4.76093,4.4527,-2.66142,3.53854,6.37662,2.52655,0.701066,5.61587,9.70603,5.57921,-4.91611,9.75423,-0.04781,-2.46733,4.52342,-4.87352,-3.15951,7.73029
gen=0_training=96,1.33614,-1.42861,3.53676,6.96922,-2.50717,6.55598,7.48791,9.89663,1.81879,0.91787,8.80888,1.31208,3.3351,0.866749,7.08425,-1.01633,-3.1111,4.90319,9.93786,8.94033
gen=0_training=97,0.00545496,0.828934,4.15093,5.69575,-3.00505,-1.38955,7.23728,6.57466,-3.58318,1.07776,-1.76822,4.81703,8.17096,5.14977,7.83783,-1.2249,-0.082077,9.94159,-4.21135,3.54966
gen=0_training=98,0.829433,-0.403783,-1.23488,5.79943,5.68118,4.61827,7.43148,-2.68083,-3.70057,-3.07166,2.66868,-1.6283,9.66435,1.82977,3.89955,2.87207,-1.12906,0.940895,-1.88336,6.76883
gen=0_training=99,-1.59969,1.7698,2.66596,0.623917,6.91074,1.59155,-3.34848,6.3951,-1.22739,1.22603,9.57287,7.62309,2.64961,-1.12537,1.95538,-0.944424,-1.76909,-0.929737,4.41325,-0.996249
gen=0_training=100,6.89676,-1.1876,-1.42972,1.60859,9.05139,-0.395317,9.62366,6.41449,2.07047,-2.76859,7.20998,-4.96962,5.53351,-2.8833,0.416297,3.77724,9.73202,-3.10563,1.19561,-2.78363
gen=0_training=101,-1.80105,-3.64889,-2.97268,7.17836,-3.66363,-4.22698,-0.36003,6.71963,7.44963,-2.21862,-1.54246,-1.66937,-0.994245,-3.65189,-4.45278,7.10609,7.20308,4.39104,2.80449,-3.70489
gen=0_training=102,-4.37844,9.18171,3.42978,8.53027,3.94257,-1.30923,-3.45367,5.07469,-4.64409,6.42304,-2.7303,7.68101,7.09768,8.22848,9.93751,8.9367,2.95159,4.71622,2.55783,-2.45949
gen=0_training=103,-3.43627,1.43001,7.05602,0.106762,3.72566,4.34754,5.72012,3.79296,8.80028,1.65341,3.51095,-3.83636,-3.9952,0.657559,2.53543,-1.49306,1.44105,1.3003,1.37439,-2.70347
gen=0_training=104,1.38235,0.933625,-0.290747,7.10935,4.21185,5.76133,3.62577,1.475,-3.44,8.27996,-3.44426,6.26378,-4.59035,-4.68918,2.09767,6.78446,0.962107,6.74381,9.80568,2.51019
gen=0_training=105,3.04866,-4.11486,8.49447,-3.56399,7.59306,1.09279,8.95914,-3.78688,3.44709,7.56555,-0.181791,-1.16082,6.50646,0.0246486,8.03189,-1.27992,3.83027,-1.47903,4.58807,2.45152
gen=0_training=106,1.79659,3.36044,0.918038,7.71565,7.25462,-2.53442,-2.75266,-4.18825,-1.97235,-0.239577,2.59986,-1.17927,2.23248,-3.29793,6.05654,4.06082,3.20436,5.951,9.77371,3.7633
gen=0_training=107,2.4011,-3.04091,-2.56155,9.95276,-3.3104,4.72425,-1.97983,-3.46149,-0.805538,4.06578,0.486896,-3.66618,8.86397,7.5358,-0.523948,-4.21551,4.46861,5.73672,6.28974,7.88337
gen=0_training=108,6.62941,5.77035,9.16483,5.28269,9.47325,-4.51088,5.19372,-3.30491,4.28003,-0.371052,9.89538,1.88983,5.92134,-2.08131,4.46192,8.488,-4.39503,6.44967,-4.12807,2.42731
gen=0_training=109,1.8285,-1.06034,-3.227,8.5913,1.34843,5.45296,-1.56976,0.278066,7.92631,6.29011,1.06425,7.25678,9.00643,-3.95486,3.45244,3.82869,7.02107,-4.18495,6.05421,-4.91844
gen=0_training=110,3.87847,-4.57617,-0.845822,-4.45801,5.62142,-1.93077,8.58136,9.21202,7.02667,2.53178,-1.50853,-2.13741,-2.80589,1.20463,-0.276641,3.84714,-1.28525,-0.495828,7.01695,-2.33596
gen=0_training=111,-0.772266,8.50601,5.03747,9.44304,4.61042,4.59054,4.88154,-4.12513,-3.75543,4.60671,-1.36191,3.6231,-4.95567,3.99314,8.62052,-3.58816,-2.22937,-0.9187,-0.379129,7.47965
gen=0_training=112,6.8687,-3.3118,-2.8294,-4.15914,-4.46478,-1.64724,-1.27497,5.56343,2.65056,-0.44172,-4.28122,5.36501,-2.25746,8.53659,5.51501,-4.14646,3.12077,8.85292,6.29911,7.81898
gen=0_training=113,9.78239,2.68153,1.99086,-0.708021,-0.569151,1.70638,9.13054,-0.194255,5.69756,-2.31064,2.04723,-4.80731,-4.8048,7.15128,-1.74236,6.01275,-1.24503,7.2474,6.51711,-1.01811
gen=0_training=114,7.14655,-3.5485,5.09902,6.15944,2.58621,8.01845,7.41885,4.21888,-4.4835,2.20149,3.63974,-2.93485,2.79603,6.65359,7.30828,3.54284,3.9673,4.79649,2.52396,3.97862
gen=0_training=115,-4.33,-1.28264,8.11952,3.23583,9.26548,-0.225608,-3.36666,6.01197,-3.8389,-2.82333,1.90678,-2.79111,9.02508,-1.35708,-0.84142,-2.2823,-2.9603,1.27611,5.62147,5.05846
gen=0_training=116,4.96606,0.120695,8.65136,0.663348,0.585844,3.86304,-1.82542,3.33747,8.15808,8.63954,1.20964,-3.51021,9.83423,0.291374,-2.54109,-3.15063,9.46693,8.63446,7.54292,6.6887
gen=0_training=117,-3.24678,-2.69044,9.73277,7.14503,8.01871,-2.90103,2.70783,-1.29535,5.79958,1.00633,-1.80027,-0.48537,3.16067,-1.07029,5.67056,2.63326,4.24369,5.19261,-0.398293,5.16555
gen=0_training=118,5.93139,8.92139,8.43331,-4.1186,1.25213,-1.61584,1.33121,9.94554,-2.26177,1.74732,4.00502,7.78106,1.78395,4.76861,-1.95315,-4.87888,5.79884,7.44924,4.80561,-0.247994
